epoch,step,train/brier_fde,train/minADE6,train/minFDE6,train/miss_rate,train/nuscenes/brier_fde,train/nuscenes/minADE6,train/nuscenes/minFDE6,train/nuscenes/miss_rate,val/brier_fde,val/minADE6,val/minFDE6,val/miss_rate,val/nuscenes/brier_fde,val/nuscenes/minADE6,val/nuscenes/minFDE6,val/nuscenes/miss_rate
0,0,,,,,,,,,15.535040855407715,7.948811054229736,14.701869010925293,1.0,15.535040855407715,7.948811054229736,14.701869010925293,1.0
0,0,16.867563247680664,9.87912654876709,16.033599853515625,1.0,16.867563247680664,9.87912654876709,16.033599853515625,1.0,,,,,,,,
1,1,,,,,,,,,14.365571975708008,8.114614486694336,13.532270431518555,1.0,14.365571975708008,8.114614486694336,13.532270431518555,1.0
1,1,15.042935371398926,7.935208320617676,14.211408615112305,0.9836065769195557,15.042935371398926,7.935208320617676,14.211408615112305,0.9836065769195557,,,,,,,,
2,2,,,,,,,,,13.959701538085938,8.010684967041016,13.126388549804688,1.0,13.959701538085938,8.010684967041016,13.126388549804688,1.0
2,2,14.013925552368164,8.060723304748535,13.181344032287598,0.9836065769195557,14.013925552368164,8.060723304748535,13.181344032287598,0.9836065769195557,,,,,,,,
3,3,,,,,,,,,14.096202850341797,7.8193464279174805,13.26289176940918,1.0,14.096202850341797,7.8193464279174805,13.26289176940918,1.0
3,3,13.695921897888184,7.97886323928833,12.862893104553223,1.0,13.695921897888184,7.97886323928833,12.862893104553223,1.0,,,,,,,,
4,4,,,,,,,,,13.60722541809082,7.086000919342041,12.77392292022705,0.8196721076965332,13.60722541809082,7.086000919342041,12.77392292022705,0.8196721076965332
4,4,13.800220489501953,7.7690629959106445,12.965985298156738,0.9672130942344666,13.800220489501953,7.7690629959106445,12.965985298156738,0.9672130942344666,,,,,,,,
5,5,,,,,,,,,13.298162460327148,6.577576637268066,12.464792251586914,0.8032786846160889,13.298162460327148,6.577576637268066,12.464792251586914,0.8032786846160889
5,5,13.31153678894043,7.054681301116943,12.477103233337402,0.8032786846160889,13.31153678894043,7.054681301116943,12.477103233337402,0.8032786846160889,,,,,,,,
